blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
699.4973145,-7.537339843E-005,699.4973145,-0.001136871986,
699.2457886,9.50377871E-005,699.2457886,-0.001003835816,
698.9941406,-0.0007426543743,698.9941406,-0.001923616976,
698.7426147,-2.464274257E-005,698.7426147,-0.002344108419,
698.4910278,-0.0001070511717,698.4910278,-0.000865591981,
698.2393799,-0.0002171807282,698.2393799,-0.0001459205669,
697.9877319,-0.0006333817146,697.9877319,-0.002057196107,
697.736145,-0.0002386548149,697.736145,-0.002332728123,
697.4844971,0.0003117012384,697.4844971,0.000136518167,
697.2327881,0.0003025570186,697.2327881,-0.002040604129,
697.0169678,-0.000417909032,697.0169678,-0.001393068815,
696.7652588,0.001020976924,696.7652588,0.0005236521829,
696.5134888,-0.0001343791519,696.5134888,0.0001880505006,
696.2617798,0.0002560618159,696.2617798,-0.001615743851,
696.0099487,0.0001442605717,696.0099487,-0.001490748255,
695.7581787,0.001292180619,695.7581787,-0.0008970571216,
695.5062866,-0.0002973279625,695.5062866,-0.002442861209,
695.2544556,0.000710892491,695.2544556,-0.0008429087466,
695.0025635,-0.0001019787378,695.0025635,-0.001935884007,
694.7506714,-0.0002098327386,694.7506714,-0.002293642145,
694.4987183,0.0002291253622,694.4987183,0.0002402623504,
694.2467651,0.0007102183299,694.2467651,0.0004723132588,
693.994812,0.0002141297446,693.994812,-0.002693349496,
693.7428589,-0.0003961851762,693.7428589,0.0005258810706,
693.4908447,0.0004519711365,693.4908447,-0.002343541943,
693.2388306,9.67725282E-005,693.2388306,-0.001138730906,
692.9868164,0.0008789148997,692.9868164,0.00121655676,
692.7347412,3.624050578E-006,692.7347412,-0.0007821904146,
692.482666,-0.0002746667888,692.482666,-0.002383344341,
692.2666016,2.433349255E-005,692.2666016,-0.0007462205249,
692.0144653,-0.001027337043,692.0144653,-0.001577160554,
691.7623291,0.0003009768843,691.7623291,0.0008223209879,
691.5101318,-0.0002040887775,691.5101318,-0.0004231846542,
691.2579956,-0.0001422977366,691.2579956,0.0006641720538,
691.0057373,-0.0005394907785,691.0057373,3.430026118E-005,
690.75354,0.001178580918,690.75354,0.000759329414,
690.5012817,0.0004227423342,690.5012817,-0.003040150972,
690.2490234,0.0002104262385,690.2490234,-0.0002283577342,
689.9967041,-6.574538565E-005,689.9967041,0.0001835444127,
689.7444458,0.0001660384441,689.7444458,-0.0008925622678,
689.4920654,0.0001539970399,689.4920654,4.651957715E-005,
689.2398071,0.000454147812,689.2398071,0.001250849338,
688.9873657,1.496234745E-005,688.9873657,-1.180384152E-005,
688.7349854,-0.000406788633,688.7349854,-0.000229754849,
688.482666,0.0007203045534,688.482666,0.0007772223325,
688.2662354,-0.0004094782344,688.2662354,-0.0006242830423,
688.013855,-0.0001849417458,688.013855,-0.001632971107,
687.7613525,-0.0009061500896,687.7613525,-0.001816651784,
687.5088501,0.0005178467836,687.5088501,-0.001732092001,
687.2563477,-0.000100167148,687.2563477,0.0009348936146,
687.0037842,0.0001493618329,687.0037842,0.001806606539,
686.7512207,-0.0008940089028,686.7512207,0.0004138807999,
686.4986572,-0.0004678180267,686.4986572,-0.002322274726,
686.2461548,0.0007584477426,686.2461548,0.0004006406816,
685.9935303,0.0007919002674,685.9935303,4.822823757E-005,
685.7408447,0.0002713178983,685.7408447,0.0005426499411,
685.4882202,0.000801054819,685.4882202,-0.0004976055352,
685.2355347,0.0002056868252,685.2355347,-6.243246753E-005,
684.9828491,-0.0005870591849,684.9828491,-0.002497479552,
684.7663574,0.0001323492324,684.7663574,0.0005289652618,
684.5135498,0.0005744010559,684.5135498,0.00019258252,
