blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
686.0071411,-0.00119191315,686.0071411,0.05679562315,686.0071411,0.03565749153,686.0071411,0.01929984614,686.0071411,0.01657896861,686.0071411,0.003252502764,
684.9967041,-0.0003296620853,684.9967041,0.06181281805,684.9967041,0.03773478791,684.9967041,0.01932144165,684.9967041,0.01657071151,684.9967041,0.003566182451,
683.9859619,0.0004562986142,683.9859619,0.05838233605,683.9859619,0.03716465831,683.9859619,0.02168123983,683.9859619,0.01572224125,683.9859619,0.004081847146,
683.0109253,-0.000198241265,683.0109253,0.05999275669,683.0109253,0.03640305996,683.0109253,0.0191778671,683.0109253,0.01922042482,683.0109253,0.003894428257,
681.9994507,0.0007105554105,681.9994507,0.0593588911,681.9994507,0.03651094064,681.9994507,0.0225147251,681.9994507,0.01957626641,681.9994507,0.004224830307,
680.9877319,-0.0009077516734,680.9877319,0.06092499197,680.9877319,0.03889796138,680.9877319,0.0213656798,680.9877319,0.01712922938,680.9877319,0.003596041119,
680.0118408,0.001004189602,680.0118408,0.06088010967,680.0118408,0.03996801004,680.0118408,0.02146431245,680.0118408,0.01824278198,680.0118408,0.005308257416,
678.9994507,-0.0001261498837,678.9994507,0.06337165833,678.9994507,0.03829028457,678.9994507,0.02118225768,678.9994507,0.01793321595,678.9994507,0.003957223147,
677.9866943,0.000101251826,677.9866943,0.06126371399,677.9866943,0.04218396172,677.9866943,0.02279295586,677.9866943,0.01962793805,677.9866943,0.004537330009,
677.0098877,0.0003450934892,677.0098877,0.0656267181,677.0098877,0.03951329365,677.0098877,0.0247666724,677.0098877,0.02082939073,677.0098877,0.004408600274,
675.996582,-0.0007197062951,675.996582,0.06618770212,675.996582,0.04264579341,675.996582,0.02712854929,675.996582,0.02269821987,675.996582,0.004277242348,
674.9829102,0.001132588834,674.9829102,0.0671121031,674.9829102,0.0438574627,674.9829102,0.02710904181,674.9829102,0.02599516883,674.9829102,0.005061378237,
674.005127,0.0005375958863,674.005127,0.07042604685,674.005127,0.04480576888,674.005127,0.02758313343,674.005127,0.02580986544,674.005127,0.00501159532,
672.9909058,0.0003625289537,672.9909058,0.06740942597,672.9909058,0.0471845232,672.9909058,0.02767769992,672.9909058,0.02475609444,672.9909058,0.00432079751,
672.0125122,8.038336819E-005,672.0125122,0.06790392101,672.0125122,0.0450335592,672.0125122,0.03238978237,672.0125122,0.02532842755,672.0125122,0.00498883985,
670.9976196,0.0001539193472,670.9976196,0.06858048588,670.9976196,0.0474970378,670.9976196,0.03152136132,670.9976196,0.02747780643,670.9976196,0.004231312778,
669.9823608,-0.001135890954,669.9823608,0.07282084972,669.9823608,0.04888277501,669.9823608,0.03128138185,669.9823608,0.02779309452,669.9823608,0.003798738122,
669.0031738,-1.278748005E-005,669.0031738,0.07425675541,669.0031738,0.0517623201,669.0031738,0.03592562675,669.0031738,0.03050119616,669.0031738,0.004506700207,
667.9873047,-0.0007777977153,667.9873047,0.07507790625,667.9873047,0.0506297797,667.9873047,0.03885798901,667.9873047,0.02964316681,667.9873047,0.004803201184,
667.0074463,0.0005088018952,667.0074463,0.0784431994,667.0074463,0.05325441808,667.0074463,0.04050778598,667.0074463,0.03385585546,667.0074463,0.005510916468,
665.9910278,0.001123920432,665.9910278,0.08012277633,665.9910278,0.05698725581,665.9910278,0.03976042196,665.9910278,0.03802367672,665.9910278,0.005205181893,
665.010498,2.609383955E-005,665.010498,0.07980681956,665.010498,0.05639840662,665.010498,0.04348652065,665.010498,0.0392289646,665.010498,0.003992699552,
663.9934082,0.0003810791532,663.9934082,0.07976252586,663.9934082,0.05738929659,663.9934082,0.04328276217,663.9934082,0.03772583604,663.9934082,0.004970693961,
663.0124512,9.998311725E-005,663.0124512,0.08378323913,663.0124512,0.06032135338,663.0124512,0.04689904675,663.0124512,0.04080558196,663.0124512,0.00529313786,
661.994751,0.000267173571,661.994751,0.08682157844,661.994751,0.06443112344,661.994751,0.05112290382,661.994751,0.0462086685,661.994751,0.005247101188,
661.0130615,-7.827211084E-005,661.0130615,0.08954060078,661.0130615,0.06563258916,661.0130615,0.05056960136,661.0130615,0.04702130705,661.0130615,0.003884450765,
659.9946899,0.0002931021736,659.9946899,0.0906772092,659.9946899,0.0692665875,659.9946899,0.05269810557,659.9946899,0.04899009317,659.9946899,0.005089428276,
659.0125122,-0.0001601528347,659.0125122,0.0940811038,659.0125122,0.07133512199,659.0125122,0.05485239252,659.0125122,0.04834846407,659.0125122,0.004779776093,
657.9935913,2.609383955E-005,657.9935913,0.09550169855,657.9935913,0.06938197464,657.9935913,0.056014359,657.9935913,0.05044811219,657.9935913,0.00482455967,
